name,profile_url,description,glassdoor_rating,rank,employee_seats,domain_authority,revenue,founded,locations,sectors,country
Connext,https://www.outsourceaccelerator.com/company/connext/,"Connext helps companies build custom, dedicated support teams in the Philippines, India, Mexico and Colombia. Our leading recruiting, management support, and employee retention has made us the premier outsourcing provider for businesses looking for a long term growth partner.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Better Support,https://www.outsourceaccelerator.com/company/better-support/,"BetterSupport.io is your partner for quality-driven outsourcing, not just cost-cutting.
We help you scale with dedicated, full-time remote staff from the Philippines, handpicked to work inside your systems like true in-house team members.  No shared agents. No platform learning curves. Just reliable",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Outsourced Global,https://www.outsourceaccelerator.com/company/outsourced-co/,"Outsourced is a premium ISO certified offshore staffing company providing the top 5% of talent globally to international companies.We provide the top 5% of talent from the Philippines, India, Malaysia, Argentina, Colombia, and Vietnam, who are 100% dedicated full-time to your business and consistent",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Outsourced,https://www.outsourceaccelerator.com/company/outsourced/,"Outsourced is a leading Business Process Outsourcing (BPO) in the Philippines providing premium offshore staffing and remote staff outsourcing to companies worldwide. With over 10 years experience and over 1,000 staff dedicated to over 250 international clients, Outsourced specializes in providing p",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Purple Mango Solutions,https://www.outsourceaccelerator.com/company/purple-mango/,"Purple Mango Solutions is one of the pioneering BPO firms headquartered in Zamboanga City — a vibrant hub known for its rich culture, diversity, and creativity.  While our roots are proudly in Zamboanga, our reach is national. We recruit and operate across the Philippines because we believe scalabil",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
CS-PAC Global BPO,https://www.outsourceaccelerator.com/company/cs-pac-global-bpo/,CS-PAC Global BPO is your one-stop shop for remote staffing and outsourcing solutions from the Philippines.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
WinSolutions,https://www.outsourceaccelerator.com/company/winsolutions/,"Winsolutions is a full-service BPO company located in the heart of Metro Manila’s central business district, dedicated to delivering the right staffing solutions for your business needs.  Since our establishment in 2014, we have grown into a trusted partner across multiple industries, offering servi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
SERVICEFIRST,https://www.outsourceaccelerator.com/company/servicefirst/,"ServiceFirst is a global business process outsourcing (BPO) provider headquartered in Orlando, Florida, with delivery hubs in the Philippines, Costa Rica, and Egypt. We help leading brands scale efficiently by combining human expertise with AI-driven workflows to enhance productivity, accuracy, and ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Integrated OS,https://www.outsourceaccelerator.com/company/integrated-os/,Integrated OS was formed in 2016 to allow us to reach other Partners in different Industries. We have and are continuing to help more than 50 Australian businesses focus on their goals by facilitating recruitment and setting up their own dedicated offshore teams in The Philippines.  Integrated OS is,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Sourcefit,https://www.outsourceaccelerator.com/company/sourcefit/,"Sourcefit is a Business Process Outsourcing company based in Manila, Philippines that provides custom offshore staffing solutions with the goal of helping clients build lasting value in their outsourced teams.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Outposter,https://www.outsourceaccelerator.com/company/outposter/,"Outposter is a leading global outsourcing company, headquartered in Brisbane, Australia, with offices in the Philippines, Singapore and India. We provide staffing solutions to both large and small companies, short or long term projects. Outsourcing can be a gamble and we remove the risk by providing",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Offshore MVP,https://www.outsourceaccelerator.com/company/offshore-mvp/,"Offshore MVP is one of the premier offshoring companies in the Philippines that connects global businesses with offshore professionals from the Philippines. With over 500 offshore staff and 60+ global clients, Offshore MVP provides the best offshoring solutions to every business challenge of our cli",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Eastvantage,https://www.outsourceaccelerator.com/company/eastvantage/,"Eastvantage provides customized business solutions to global companies, enabling offshore operations from its locations in the Philippines, India, Morocco and Bulgaria. The management team brings a wealth of global insights and local knowledge in the areas of digital transformation, customer experie",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
Skylab CX,https://www.outsourceaccelerator.com/company/skylab-cx/,"Skylab CX is a modern-generation outsourcing partner headquartered in IBM Plaza, 8 Eastwood Ave. QC, 1110 Metro Manila, Philippines. The company specializes in providing AI-powered business process outsourcing (BPO) and customer experience (CX) solutions that enable organizations to scale efficientl",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
ScalableOS,https://www.outsourceaccelerator.com/company/scalableos/,"ScalableOS is a privately held offshoring company founded by Chris Van Vladricken, a seasoned IT executive with over 15 years of experience in global workforce solutions. Headquartered in the Philippines, we specialize in building high-skill, full-time dedicated offshore teams for US-based businesse",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Philippines
